世代,個体No,実値,適応度, 係数0, 係数1
0,63,1.075,10.746,0.37,0.89
1,9,1.902,19.025,0.31,0.03
2,96,1.392,13.916,-0.62,0.48
3,79,1.352,13.515,0.31,0.74
4,62,1.348,13.476,0.71,0.38
5,21,0.607,6.070,-0.77,0.89
6,41,0.669,6.690,0.55,1.01
7,37,1.992,19.920,-0.08,0.04
8,71,1.169,11.695,-0.01,0.91
9,77,0.398,3.977,-0.49,1.17
10,59,1.239,12.394,-0.55,0.68
11,55,1.670,16.698,0.57,0.06
12,53,1.294,12.939,-0.83,-0.15
13,67,1.847,18.472,-0.35,-0.18
14,70,1.623,16.231,0.54,-0.29
15,12,1.453,14.529,-0.56,0.48
16,78,1.198,11.985,-0.51,0.74
17,13,0.816,8.161,-1.05,-0.28
18,79,1.447,14.466,0.74,0.01
19,69,1.484,14.844,0.05,-0.72
20,53,1.847,18.466,-0.02,-0.39
21,28,1.422,14.222,-0.23,0.72
22,43,1.346,13.463,-0.33,0.74
23,65,1.973,19.727,0.14,0.09
24,83,1.280,12.804,-0.70,-0.48
25,6,0.430,4.304,-1.05,0.69
26,47,1.507,15.068,-0.45,-0.54
27,15,0.778,7.785,-0.75,0.82
28,25,-0.395,-3.953,-1.40,0.66
29,94,0.130,1.299,-1.27,0.50
30,29,1.394,13.940,-0.25,-0.74
31,99,1.720,17.202,-0.05,0.53
32,16,1.964,19.642,-0.05,0.18
33,56,0.687,6.868,0.79,-0.83
34,12,1.943,19.428,-0.23,-0.07
35,35,1.004,10.040,0.92,0.39
36,11,0.461,4.607,-0.48,1.15
37,32,1.172,11.719,0.60,0.68
38,58,0.896,8.962,1.05,-0.06
39,44,0.225,2.248,0.12,-1.33
40,17,0.537,5.366,1.13,0.44
41,71,1.829,18.287,-0.00,0.41
42,90,0.787,7.868,0.63,0.91
43,48,0.481,4.805,1.11,0.54
44,71,1.673,16.732,-0.50,-0.28
45,8,1.302,13.022,-0.76,-0.34
46,49,-0.902,-9.020,-1.43,-0.93
47,64,1.902,19.023,0.20,-0.24
48,22,1.414,14.140,0.70,0.31
49,87,1.719,17.189,-0.44,-0.29
50,62,1.990,19.902,0.10,-0.00
51,71,1.940,19.401,0.07,0.23
52,82,1.034,10.341,0.30,0.94
53,28,1.287,12.865,-0.32,-0.78
54,26,1.161,11.609,0.06,-0.91
55,31,0.852,8.517,-0.44,0.98
56,85,0.165,1.649,-0.80,-1.09
57,31,1.226,12.257,-0.31,-0.82
58,46,1.181,11.812,-0.89,0.14
59,22,1.222,12.217,-0.79,-0.40
60,70,1.705,17.054,0.46,0.29
61,71,0.189,1.888,0.85,1.04
62,70,1.381,13.806,0.78,0.09
63,39,1.040,10.402,0.98,0.01
64,28,1.159,11.589,0.90,-0.15
65,78,1.990,19.903,0.02,-0.10
66,29,1.534,15.342,0.18,-0.66
67,68,1.633,16.326,-0.56,0.24
68,21,1.971,19.714,0.17,0.01
69,57,1.489,14.893,0.69,0.18
70,76,0.016,0.164,1.05,-0.94
71,17,1.675,16.752,-0.54,0.18
72,76,1.543,15.430,0.67,-0.11
73,58,1.168,11.679,-0.56,-0.72
74,92,0.651,6.515,-0.62,-0.98
75,28,1.319,13.190,-0.70,0.44
76,83,1.914,19.140,0.27,-0.11
77,15,1.109,11.088,0.73,-0.60
78,98,1.857,18.575,-0.33,-0.18
79,96,1.074,10.738,0.87,-0.42
80,57,1.304,13.038,0.47,0.69
81,49,0.565,5.647,-0.24,-1.17
82,93,0.419,4.194,-0.83,0.95
83,36,1.048,10.479,-0.88,-0.42
84,61,1.482,14.823,0.63,0.35
85,13,0.473,4.729,-1.00,0.72
86,20,-1.639,-16.387,1.86,0.43
87,78,1.838,18.385,-0.29,-0.28
88,70,0.544,5.435,0.24,1.18
89,66,0.271,2.713,1.26,-0.39
90,21,1.389,13.892,-0.60,0.50
91,77,0.080,0.802,-0.51,-1.29
92,82,0.905,9.049,0.49,-0.92
93,2,1.843,18.428,0.38,0.10
94,16,1.324,13.235,0.82,0.07
95,25,0.266,2.661,-1.05,-0.79
96,4,1.824,18.242,-0.33,0.26
97,65,-0.097,-0.974,1.34,0.55
98,41,1.960,19.596,-0.04,0.20
99,83,-0.939,-9.387,0.08,1.71
100,88,-0.113,-1.133,1.42,0.33
101,54,0.553,5.527,-0.55,1.07
102,19,0.415,4.151,-0.29,1.22
103,98,1.569,15.691,-0.46,0.46
104,55,1.452,14.516,0.65,0.35
105,36,1.993,19.929,-0.05,0.07
106,15,1.979,19.789,-0.14,-0.05
107,5,1.050,10.498,-0.97,-0.12
108,47,1.517,15.172,-0.01,-0.69
109,47,1.133,11.331,-0.07,-0.93
110,13,1.028,10.277,-0.98,-0.14
111,14,0.795,7.952,-1.03,0.37
112,65,0.559,5.586,-0.39,-1.14
113,30,1.462,14.624,-0.70,0.22
114,12,1.102,11.015,0.92,0.23
115,72,0.123,1.228,-1.26,0.55
116,22,1.842,18.422,-0.36,0.17
117,56,0.787,7.873,0.81,0.74
118,79,1.361,13.613,0.27,-0.75
119,66,0.437,4.371,0.75,-1.00
120,2,1.438,14.384,0.59,-0.46
121,18,0.471,4.711,1.08,-0.60
122,47,1.533,15.330,-0.61,0.31
123,1,1.137,11.374,-0.62,-0.69
124,65,0.625,6.247,-0.47,1.07
125,75,1.249,12.487,-0.74,-0.45
126,56,1.986,19.860,0.10,-0.06
127,73,0.606,6.057,-1.17,-0.18
128,83,-0.003,-0.034,-1.28,-0.60
129,13,1.660,16.597,-0.33,0.48
130,33,1.253,12.529,-0.41,0.76
131,49,1.262,12.623,-0.01,-0.86
132,61,1.849,18.492,-0.27,-0.28
133,38,1.766,17.662,0.30,-0.38
134,96,1.640,16.396,0.11,-0.59
135,29,1.970,19.701,-0.04,0.17
136,93,1.006,10.059,0.68,-0.73
137,69,0.154,1.545,-0.94,-0.98
138,15,1.350,13.500,0.66,0.47
139,99,1.724,17.243,-0.33,0.41
140,85,1.525,15.253,-0.08,-0.68
141,22,1.761,17.613,-0.48,0.08
142,8,1.358,13.576,0.66,0.46
143,45,1.268,12.682,-0.80,0.31
144,25,1.263,12.626,-0.15,0.85
145,88,0.655,6.546,0.91,0.72
146,16,1.757,17.567,0.42,0.26
147,52,1.533,15.334,-0.11,0.67
148,86,0.295,2.952,-1.26,0.36
149,31,1.484,14.838,0.37,-0.62
150,62,1.709,17.093,0.46,0.27
151,0,1.894,18.940,-0.25,-0.21
152,51,0.402,4.025,-0.47,1.17
153,29,1.258,12.581,0.75,-0.42
154,15,1.608,16.078,-0.43,0.45
155,77,1.597,15.971,0.14,0.62
156,98,1.469,14.686,-0.73,-0.03
157,44,1.478,14.779,-0.32,-0.65
158,91,1.533,15.328,0.55,-0.40
159,77,1.536,15.362,-0.12,-0.67
160,2,1.210,12.104,0.86,0.24
161,4,0.973,9.725,0.56,-0.85
162,73,1.274,12.744,-0.77,0.36
163,62,0.864,8.642,0.81,0.70
164,15,1.745,17.447,-0.26,-0.43
165,46,0.624,6.237,0.94,-0.70
166,75,1.402,14.022,0.75,0.19
167,68,1.896,18.964,-0.15,-0.29
168,26,1.302,13.015,-0.68,0.49
169,91,1.996,19.957,0.06,0.03
170,54,1.977,19.773,0.15,-0.04
171,59,1.852,18.520,-0.34,0.19
172,87,1.464,14.638,0.72,0.15
173,51,0.943,9.426,-1.02,-0.10
174,46,1.958,19.576,-0.13,0.16
175,15,0.999,9.986,-0.97,0.23
176,53,-1.509,-15.091,1.67,-0.85
177,73,-0.355,-3.549,-1.44,-0.54
178,9,1.737,17.369,-0.47,-0.20
179,17,-0.490,-4.899,-0.23,1.56
180,19,0.923,9.229,-0.11,1.03
181,80,1.745,17.455,0.21,-0.46
182,75,0.794,7.939,-0.08,1.10
183,58,0.585,5.845,-1.13,-0.37
184,79,0.729,7.291,-0.56,-0.98
185,37,1.731,17.311,-0.47,0.23
186,81,1.321,13.209,-0.53,-0.63
187,30,1.019,10.191,-0.95,0.28
188,56,0.954,9.538,-0.82,-0.62
189,18,1.586,15.857,-0.60,-0.24
190,73,1.047,10.473,0.93,-0.31
191,2,1.414,14.144,-0.09,0.76
192,20,1.239,12.389,-0.85,0.18
193,87,1.889,18.885,-0.29,0.17
194,78,-0.223,-2.232,-0.74,1.30
195,76,1.754,17.540,-0.49,-0.04
196,2,1.174,11.743,-0.06,-0.91
197,86,0.353,3.533,-0.92,-0.90
198,60,1.402,14.017,-0.41,0.66
199,8,1.642,16.425,-0.56,-0.20
200,52,1.423,14.227,0.33,-0.68
201,76,1.908,19.084,-0.18,0.25
202,57,1.552,15.523,0.51,0.43
203,3,1.978,19.778,0.09,0.12
204,99,1.883,18.831,-0.07,-0.33
205,51,1.776,17.762,-0.42,-0.22
206,6,-0.445,-4.455,-1.08,-1.13
207,43,1.921,19.213,-0.10,0.26
208,63,0.726,7.263,-0.55,-0.99
209,8,1.720,17.199,0.27,0.46
