世代,個体No,実値,適応度, 係数0
0,11,29.000,290.000,-230.06
1,23,29.000,290.000,-234.19
2,4,29.000,290.000,-231.56
3,48,29.000,290.000,-234.19
4,6,29.000,290.000,-237.86
5,50,29.000,290.000,-236.45
6,19,29.000,290.000,-236.33
7,20,29.000,290.000,-376.13
8,3,29.000,290.000,-234.82
9,16,29.000,290.000,-376.13
10,1,29.000,290.000,-381.04
11,0,29.000,290.000,-233.27
12,18,29.000,290.000,-240.41
13,19,29.000,290.000,-369.86
14,2,29.000,290.000,-370.93
15,23,29.000,290.000,-375.10
16,3,29.000,290.000,-376.10
17,12,29.000,290.000,-383.02
18,34,29.000,290.000,-383.47
19,13,29.000,290.000,-376.24
20,6,29.000,290.000,-383.47
21,2,29.000,290.000,-234.41
22,6,29.000,290.000,-231.28
23,31,29.000,290.000,-234.41
24,7,29.000,290.000,-234.41
25,22,29.000,290.000,-372.64
26,14,29.000,290.000,-232.47
27,0,29.000,290.000,-234.09
28,8,29.000,290.000,-235.53
29,18,29.000,290.000,-235.53
30,1,29.000,290.000,-376.12
31,0,29.000,290.000,-368.24
32,12,30.000,300.000,-132.91
33,52,29.000,290.000,-234.79
34,4,30.000,300.000,-131.53
35,3,30.000,300.000,-132.71
36,2,30.000,300.000,-132.88
37,73,30.000,300.000,-132.88
38,63,30.000,300.000,-132.88
39,59,30.000,300.000,-132.88
40,67,30.000,300.000,-132.88
41,41,30.000,300.000,-132.88
42,4,30.000,300.000,-132.18
43,9,29.000,290.000,-381.57
44,2,29.000,290.000,-236.88
45,24,30.000,300.000,-131.42
46,66,30.000,300.000,-131.42
47,5,29.000,290.000,-231.50
48,1,29.000,290.000,-231.50
49,0,29.000,290.000,-381.41
