世代,個体No,実値,適応度, 係数0, 係数1, 係数2, 係数3, 係数4, 係数5, 係数6, 係数7, 係数8, 係数9
0,35,3.000,30.000,0.41,0.11,0.53,0.50,0.78,0.18,0.52,0.91,0.53,0.93
1,8,3.000,30.000,0.35,0.31,0.68,0.14,0.67,0.35,0.52,0.80,0.36,0.93
2,54,3.000,30.000,0.05,0.55,0.52,0.25,0.59,0.41,0.63,0.90,0.49,0.88
3,48,1.000,10.000,0.48,0.02,0.58,0.45,0.47,0.06,0.40,0.28,0.75,0.70
4,37,8.000,80.000,0.07,0.53,0.34,0.17,0.02,0.92,0.39,0.44,0.80,0.92
5,13,3.000,30.000,0.13,0.64,0.07,0.59,0.92,0.93,0.47,0.35,0.18,0.02
6,24,8.000,80.000,0.39,0.78,0.21,0.74,0.74,0.98,0.56,0.61,0.86,0.68
7,37,4.000,40.000,0.31,0.34,0.02,0.78,0.04,0.49,0.80,0.92,0.73,0.97
8,74,8.000,80.000,0.17,0.95,0.06,0.01,0.14,0.74,0.44,0.67,0.56,0.99
9,32,3.000,30.000,0.15,0.92,0.39,0.90,0.98,0.76,0.26,0.69,0.18,0.93
10,51,8.000,80.000,0.36,0.85,0.17,0.68,0.73,0.91,0.22,0.96,0.60,0.56
11,54,3.000,30.000,0.35,0.58,0.38,0.96,0.78,0.63,0.51,0.57,0.12,0.47
12,30,4.000,40.000,0.37,0.67,0.10,0.68,0.54,0.39,0.53,0.31,0.25,0.90
13,35,1.000,10.000,0.70,0.77,0.35,0.84,0.70,0.87,0.53,0.69,0.00,0.08
14,24,8.000,80.000,0.28,0.47,0.09,0.35,0.39,0.68,0.56,0.38,0.84,0.50
15,6,3.000,30.000,0.34,0.31,0.05,0.69,0.53,0.90,0.63,0.21,0.45,0.01
16,99,4.000,40.000,0.10,0.55,0.02,0.02,0.45,0.05,0.67,0.69,0.72,0.83
17,58,8.000,80.000,0.07,0.40,0.13,0.79,0.73,0.91,0.74,0.29,0.72,0.74
18,86,6.000,60.000,0.22,0.52,0.16,0.84,0.69,0.77,0.50,0.33,0.89,0.12
19,30,3.000,30.000,0.02,0.45,0.80,0.56,0.35,0.06,0.71,0.08,0.49,0.52
